"title","state","description","impact_percentage","workers_total","workers_risk","workers_risk_percentage","risk_level","workers_risk_level","idhm","pib"
"ADAMANTINA","SP","ADAMANTINA / SP","0.55","10433","3824","0.37","3","3","0.79","1054541.00"
"AGUAÍ","SP","AGUAÍ / SP","0.5","6976","1919","0.28","5","5","0.715","942709.00"
"AGUDOS","SP","AGUDOS / SP","0.55","8445","3085","0.37","3","4","0.745","2063022.00"
"ALUMÍNIO","SP","ALUMÍNIO / SP","0.51","6277","1080","0.17","5","5","0.766","1853577.00"
"AMERICANA","SP","AMERICANA / SP","0.54","71515","23397","0.33","4","1","0.811","10382873.00"
"AMÉRICO BRASILIENSE","SP","AMÉRICO BRASILIENSE / SP","0.52","9640","2761","0.29","5","4","0.751","948260.00"
"AMPARO","SP","AMPARO / SP","0.53","23824","7217","0.3","4","2","0.606","24393.00"
"ANDRADINA","SP","ANDRADINA / SP","0.55","15439","5375","0.35","3","3","0.779","1971995.00"
"ANGATUBA","SP","ANGATUBA / SP","0.51","5052","1795","0.36","5","5","0.719","963361.00"
"APARECIDA","SP","APARECIDA / SP","0.58","11490","5334","0.46","1","3","0.578","72217.00"
"ARAÇARIGUAMA","SP","ARAÇARIGUAMA / SP","0.53","9995","2504","0.25","4","4","0.704","2844224.00"
"ARAÇATUBA","SP","ARAÇATUBA / SP","0.56","52301","21492","0.41","3","1","0.788","6970533.00"
"ARAÇOIABA DA SERRA","SP","ARAÇOIABA DA SERRA / SP","0.54","5310","1765","0.33","4","5","0.776","668034.00"
"ARARAQUARA","SP","ARARAQUARA / SP","0.56","73820","27996","0.38","3","1","0.815","9009108.00"
"ARARAS","SP","ARARAS / SP","0.53","37614","11627","0.31","4","1","0.781","5284021.00"
"ARTUR NOGUEIRA","SP","ARTUR NOGUEIRA / SP","0.52","9464","3075","0.32","5","4","0.749","1081069.00"
"ARUJÁ","SP","ARUJÁ / SP","0.53","22962","6566","0.29","4","2","0.784","5311877.00"
"ASSIS","SP","ASSIS / SP","0.57","21375","9275","0.43","2","2","0.805","3303948.00"
"ATIBAIA","SP","ATIBAIA / SP","0.55","39235","14237","0.36","3","1","0.765","6162799.00"
"AVARÉ","SP","AVARÉ / SP","0.54","21862","7742","0.35","4","2","0.767","2621040.00"
"BARIRI","SP","BARIRI / SP","0.52","8600","2434","0.28","5","4","0.75","1146339.00"
"BARRA BONITA","SP","BARRA BONITA / SP","0.51","11320","3122","0.28","5","4","0.788","1387795.00"
"BARRETOS","SP","BARRETOS / SP","0.57","31812","12536","0.39","2","1","0.789","4443581.00"
"BARUERI","SP","BARUERI / SP","0.54","251308","78149","0.31","4","1","0.786","47553589.00"
"BASTOS","SP","BASTOS / SP","0.57","7509","4302","0.57","2","3","0.751","1048120.00"
"BATATAIS","SP","BATATAIS / SP","0.52","15259","4760","0.31","5","3","0.761","1479439.00"
"BAURU","SP","BAURU / SP","0.57","124472","49020","0.39","2","1","0.801","13771753.00"
"BEBEDOURO","SP","BEBEDOURO / SP","0.47","26756","7757","0.29","5","2","0.78","3260501.00"
"BERTIOGA","SP","BERTIOGA / SP","0.58","13028","5646","0.43","1","2","0.73","1606553.00"
"BIRIGUI","SP","BIRIGUI / SP","0.52","31977","9760","0.31","5","2","0.78","3146638.00"
"BOITUVA","SP","BOITUVA / SP","0.53","22827","4771","0.21","4","3","0.78","2696866.00"
"BOM JESUS DOS PERDÕES","SP","BOM JESUS DOS PERDÕES / SP","0.51","5401","1307","0.24","5","5","0.713","863923.00"
"BOTUCATU","SP","BOTUCATU / SP","0.55","40567","15324","0.38","3","1","0.8","4290669.00"
"BRAGANÇA PAULISTA","SP","BRAGANÇA PAULISTA / SP","0.55","44629","15685","0.35","3","1","0.776","5672443.00"
"BROTAS","SP","BROTAS / SP","0.5","6993","2225","0.32","5","4","0.74","804016.00"
"CABREÚVA","SP","CABREÚVA / SP","0.51","14107","2760","0.2","5","4","0.738","4294324.00"
"CAÇAPAVA","SP","CAÇAPAVA / SP","0.53","21790","6199","0.28","4","2","0.788","4075123.00"
"CACHOEIRA PAULISTA","SP","CACHOEIRA PAULISTA / SP","0.56","5252","2079","0.4","3","5","0.764","591381.00"
"CAIEIRAS","SP","CAIEIRAS / SP","0.54","19454","5392","0.28","4","3","0.781","3289605.00"
"CAJAMAR","SP","CAJAMAR / SP","0.52","38948","8204","0.21","5","2","0.728","15003191.00"
"CAJATI","SP","CAJATI / SP","0.52","6364","1663","0.26","5","5","0.694","1565335.00"
"CAMPINAS","SP","CAMPINAS / SP","0.57","406047","156353","0.39","2","1","0.805","59053563.00"
"CAMPO LIMPO PAULISTA","SP","CAMPO LIMPO PAULISTA / SP","0.55","12783","4086","0.32","3","3","0.769","1922194.00"
"CAMPOS DO JORDÃO","SP","CAMPOS DO JORDÃO / SP","0.59","12853","6550","0.51","1","2","0.749","1195551.00"
"CÂNDIDO MOTA","SP","CÂNDIDO MOTA / SP","0.53","5675","1687","0.3","4","5","0.747","1005667.00"
"CAPÃO BONITO","SP","CAPÃO BONITO / SP","0.54","8042","3155","0.39","4","4","0.721","814415.00"
"CAPIVARI","SP","CAPIVARI / SP","0.54","15249","4933","0.32","4","3","0.75","1877375.00"
"CARAGUATATUBA","SP","CARAGUATATUBA / SP","0.6","22852","11774","0.52","1","1","0.759","2928286.00"
"CARAPICUÍBA","SP","CARAPICUÍBA / SP","0.56","34506","13710","0.4","3","1","0.749","5494357.00"
"CASA BRANCA","SP","CASA BRANCA / SP","0.48","6669","1833","0.27","5","5","0.73","801722.00"
"CATANDUVA","SP","CATANDUVA / SP","0.56","35919","14754","0.41","3","1","0.785","3974659.00"
"CERQUILHO","SP","CERQUILHO / SP","0.52","12355","3190","0.26","5","4","0.782","1743257.00"
"COLINA","SP","COLINA / SP","0.5","5083","1361","0.27","5","5","0.757","948979.00"
"CONCHAL","SP","CONCHAL / SP","0.52","5509","1695","0.31","5","5","0.708","656033.00"
"CORDEIRÓPOLIS","SP","CORDEIRÓPOLIS / SP","0.5","9579","2151","0.22","5","5","0.758","2610037.00"
"COSMÓPOLIS","SP","COSMÓPOLIS / SP","0.55","9397","3180","0.34","3","4","0.769","1575661.00"
"COTIA","SP","COTIA / SP","0.55","73178","24929","0.34","3","1","0.78","11573369.00"
"CRAVINHOS","SP","CRAVINHOS / SP","0.51","9024","2423","0.27","5","4","0.756","1035236.00"
"CRUZEIRO","SP","CRUZEIRO / SP","0.53","16342","5060","0.31","4","3","0.788","2136729.00"
"CUBATÃO","SP","CUBATÃO / SP","0.55","28956","8303","0.29","3","2","0.737","12336913.00"
"DESCALVADO","SP","DESCALVADO / SP","0.51","9689","2658","0.27","5","4","0.76","1643346.00"
"DIADEMA","SP","DIADEMA / SP","0.53","87890","25305","0.29","4","1","0.757","13412703.00"
"DOIS CÓRREGOS","SP","DOIS CÓRREGOS / SP","0.52","5061","1778","0.35","5","5","0.725","653858.00"
"DRACENA","SP","DRACENA / SP","0.56","10057","4334","0.43","3","3","0.776","1166835.00"
"ELIAS FAUSTO","SP","ELIAS FAUSTO / SP","0.48","5149","920","0.18","5","5","0.695","632336.00"
"EMBU-GUAÇU","SP","EMBU-GUAÇU / SP","0.54","8239","2642","0.32","4","4","0.749","1043490.00"
"EMBU DAS ARTES","SP","EMBU DAS ARTES / SP","0.55","44003","14144","0.32","3","1","0.735","11713049.00"
"ESPÍRITO SANTO DO PINHAL","SP","ESPÍRITO SANTO DO PINHAL / SP","0.51","11691","3143","0.27","5","4","0.787","1259012.00"
"FERNANDÓPOLIS","SP","FERNANDÓPOLIS / SP","0.55","16366","6283","0.38","3","2","0.797","1930276.00"
"FERRAZ DE VASCONCELOS","SP","FERRAZ DE VASCONCELOS / SP","0.54","19134","6109","0.32","4","2","0.738","2989860.00"
"FRANCA","SP","FRANCA / SP","0.55","84716","32408","0.38","3","1","0.78","9409310.00"
"FRANCISCO MORATO","SP","FRANCISCO MORATO / SP","0.62","9839","5888","0.6","1","2","0.703","1464628.00"
"FRANCO DA ROCHA","SP","FRANCO DA ROCHA / SP","0.59","16503","7226","0.44","1","2","0.731","3029794.00"
"GARÇA","SP","GARÇA / SP","0.53","10609","3602","0.34","4","3","0.769","1159125.00"
"GUAÍRA","SP","GUAÍRA / SP","0.47","14414","2693","0.19","5","4","0.753","3697276.00"
"GUARARAPES","SP","GUARARAPES / SP","0.53","6471","2246","0.35","4","4","0.763","987256.00"
"GUARAREMA","SP","GUARAREMA / SP","0.53","7548","2038","0.27","4","5","0.731","960960.00"
"GUARATINGUETÁ","SP","GUARATINGUETÁ / SP","0.56","28350","11184","0.39","3","2","0.798","5277694.00"
"GUARIBA","SP","GUARIBA / SP","0.52","7081","2057","0.29","5","5","0.719","889457.00"
"GUARUJÁ","SP","GUARUJÁ / SP","0.59","47851","22780","0.48","1","1","0.751","8589741.00"
"GUARULHOS","SP","GUARULHOS / SP","0.55","328500","115669","0.35","3","1","0.763","55743650.00"
"HOLAMBRA","SP","HOLAMBRA / SP","0.47","9963","3053","0.31","5","4","0.793","908165.00"
"HORTOLÂNDIA","SP","HORTOLÂNDIA / SP","0.54","43232","13354","0.31","4","1","0.756","12928628.00"
"IBATÉ","SP","IBATÉ / SP","0.51","5768","1513","0.26","5","5","0.703","915873.00"
"IBITINGA","SP","IBITINGA / SP","0.52","14646","4350","0.3","5","3","0.747","1481596.00"
"IBIÚNA","SP","IBIÚNA / SP","0.51","14177","4602","0.32","5","3","0.71","1632767.00"
"IGARAPAVA","SP","IGARAPAVA / SP","0.53","5565","1955","0.35","4","5","0.768","1076232.00"
"ILHABELA","SP","ILHABELA / SP","0.6","8085","4047","0.5","1","3","0.756","6153610.00"
"INDAIATUBA","SP","INDAIATUBA / SP","0.54","74619","22300","0.3","4","1","0.788","13489932.00"
"IPERÓ","SP","IPERÓ / SP","0.53","6238","1574","0.25","4","5","0.719","564350.00"
"IRACEMÁPOLIS","SP","IRACEMÁPOLIS / SP","0.5","6674","1436","0.22","5","5","0.776","1309627.00"
"ITAÍ","SP","ITAÍ / SP","0.48","5591","1658","0.3","5","5","0.713","587796.00"
"ITANHAÉM","SP","ITANHAÉM / SP","0.61","14181","7314","0.52","1","2","0.745","1855370.00"
"ITAPECERICA DA SERRA","SP","ITAPECERICA DA SERRA / SP","0.56","22464","8667","0.39","3","2","0.742","3281942.00"
"ITAPETININGA","SP","ITAPETININGA / SP","0.54","36230","12457","0.34","4","1","0.763","4458857.00"
"ITAPEVA","SP","ITAPEVA / SP","0.54","19869","7090","0.36","4","2","0.72","302770.00"
"ITAPEVI","SP","ITAPEVI / SP","0.55","33995","11546","0.34","3","1","0.735","11597557.00"
"ITAPIRA","SP","ITAPIRA / SP","0.53","23494","6786","0.29","4","2","0.762","3457944.00"
"ITÁPOLIS","SP","ITÁPOLIS / SP","0.49","10559","2850","0.27","5","4","0.744","1373099.00"
"ITAQUAQUECETUBA","SP","ITAQUAQUECETUBA / SP","0.54","41420","13258","0.32","4","1","0.714","6932298.00"
"ITARARÉ","SP","ITARARÉ / SP","0.56","8445","3193","0.38","3","4","0.703","875364.00"
"ITATIBA","SP","ITATIBA / SP","0.54","32810","9700","0.3","4","2","0.778","5566364.00"
"ITIRAPINA","SP","ITIRAPINA / SP","0.55","5043","1512","0.3","3","5","0.724","386254.00"
"ITU","SP","ITU / SP","0.54","55050","20014","0.36","4","1","0.773","7572821.00"
"ITUPEVA","SP","ITUPEVA / SP","0.52","27497","7086","0.26","5","2","0.762","6124416.00"
"ITUVERAVA","SP","ITUVERAVA / SP","0.57","7224","3366","0.47","2","3","0.765","1619182.00"
"JABOTICABAL","SP","JABOTICABAL / SP","0.54","21415","6954","0.32","4","2","0.778","2752005.00"
"JACAREÍ","SP","JACAREÍ / SP","0.55","49321","16356","0.33","3","1","0.777","11696354.00"
"JAGUARIÚNA","SP","JAGUARIÚNA / SP","0.52","34318","7210","0.21","5","2","0.784","11346028.00"
"JALES","SP","JALES / SP","0.57","11238","4681","0.42","2","3","0.776","1394460.00"
"JANDIRA","SP","JANDIRA / SP","0.55","18139","6348","0.35","3","2","0.76","4028508.00"
"JARDINÓPOLIS","SP","JARDINÓPOLIS / SP","0.53","8929","2707","0.3","4","4","0.735","1072305.00"
"JARINU","SP","JARINU / SP","0.52","8513","2106","0.25","5","5","0.733","2251523.00"
"JAÚ","SP","JAÚ / SP","0.56","37812","14707","0.39","3","1","0.778","4560371.00"
"JOSÉ BONIFÁCIO","SP","JOSÉ BONIFÁCIO / SP","0.51","9825","2695","0.27","5","4","0.777","1389991.00"
"JUNDIAÍ","SP","JUNDIAÍ / SP","0.55","164698","55073","0.33","3","1","0.822","41227953.00"
"JUNQUEIRÓPOLIS","SP","JUNQUEIRÓPOLIS / SP","0.51","5517","1619","0.29","5","5","0.745","613203.00"
"JUQUITIBA","SP","JUQUITIBA / SP","0.57","5270","1681","0.32","2","5","0.709","485671.00"
"LARANJAL PAULISTA","SP","LARANJAL PAULISTA / SP","0.52","9017","2155","0.24","5","5","0.729","1007472.00"
"LEME","SP","LEME / SP","0.54","21913","7049","0.32","4","2","0.744","2978265.00"
"LENÇÓIS PAULISTA","SP","LENÇÓIS PAULISTA / SP","0.53","18319","5521","0.3","4","3","0.764","2569703.00"
"LIMEIRA","SP","LIMEIRA / SP","0.53","81857","24487","0.3","4","1","0.775","12154751.00"
"LINS","SP","LINS / SP","0.52","24844","7070","0.28","5","2","0.786","3573980.00"
"LORENA","SP","LORENA / SP","0.57","16759","6416","0.38","2","2","0.766","2439667.00"
"LOUVEIRA","SP","LOUVEIRA / SP","0.52","16938","3964","0.23","5","3","0.777","13805962.00"
"LUCÉLIA","SP","LUCÉLIA / SP","0.55","8285","1958","0.24","3","5","0.752","428339.00"
"LUÍS ANTÔNIO","SP","LUÍS ANTÔNIO / SP","0.41","6809","827","0.12","5","5","0.731","1323520.00"
"MAIRINQUE","SP","MAIRINQUE / SP","0.57","9961","3704","0.37","2","3","0.743","1706174.00"
"MAIRIPORÃ","SP","MAIRIPORÃ / SP","0.55","13120","4510","0.34","3","3","0.788","1716735.00"
"MARÍLIA","SP","MARÍLIA / SP","0.57","68447","27885","0.41","2","1","0.798","7719607.00"
"MATÃO","SP","MATÃO / SP","0.46","30449","7074","0.23","5","2","0.773","3821843.00"
"MAUÁ","SP","MAUÁ / SP","0.55","64142","20589","0.32","3","1","0.766","16286409.00"
"MIRASSOL","SP","MIRASSOL / SP","0.53","13928","4400","0.32","4","3","0.762","1956637.00"
"MOCOCA","SP","MOCOCA / SP","0.51","16358","5386","0.33","5","3","0.762","2228392.00"
"MOGI DAS CRUZES","SP","MOGI DAS CRUZES / SP","0.56","101663","39692","0.39","3","1","0.783","14470623.00"
"MOGI GUAÇU","SP","MOGI GUAÇU / SP","0.52","38882","11727","0.3","5","1","0.774","5557420.00"
"MOGI MIRIM","SP","MOGI MIRIM / SP","0.54","27589","9077","0.33","4","2","0.784","4456895.00"
"MONGAGUÁ","SP","MONGAGUÁ / SP","0.59","6325","3067","0.48","1","4","0.754","986035.00"
"MONTE ALTO","SP","MONTE ALTO / SP","0.52","13358","3916","0.29","5","3","0.768","1622754.00"
"MONTE MOR","SP","MONTE MOR / SP","0.54","12913","4291","0.33","4","3","0.733","2917997.00"
"MORRO AGUDO","SP","MORRO AGUDO / SP","0.49","7822","1886","0.24","5","5","0.712","1328960.00"
"NOVA ODESSA","SP","NOVA ODESSA / SP","0.51","19547","3922","0.2","5","3","0.791","3175071.00"
"NOVO HORIZONTE","SP","NOVO HORIZONTE / SP","0.51","9739","2708","0.28","5","4","0.597","75730.00"
"OLÍMPIA","SP","OLÍMPIA / SP","0.54","15213","5520","0.36","4","3","0.773","2072343.00"
"ORLÂNDIA","SP","ORLÂNDIA / SP","0.53","11452","3686","0.32","4","3","0.78","1781347.00"
"OSASCO","SP","OSASCO / SP","0.56","157389","60998","0.39","3","1","0.776","77910496.00"
"OSVALDO CRUZ","SP","OSVALDO CRUZ / SP","0.53","7353","2459","0.33","4","4","0.762","878449.00"
"OURINHOS","SP","OURINHOS / SP","0.56","26611","10733","0.4","3","2","0.778","2999648.00"
"PARAGUAÇU PAULISTA","SP","PARAGUAÇU PAULISTA / SP","0.49","12667","3295","0.26","5","3","0.762","1235133.00"
"PAULÍNIA","SP","PAULÍNIA / SP","0.54","41442","12776","0.31","4","1","0.795","35346490.00"
"PEDERNEIRAS","SP","PEDERNEIRAS / SP","0.51","12420","3447","0.28","5","3","0.739","1723581.00"
"PEDREIRA","SP","PEDREIRA / SP","0.51","13208","3422","0.26","5","3","0.769","1128534.00"
"PENÁPOLIS","SP","PENÁPOLIS / SP","0.56","15010","5456","0.36","3","3","0.759","1580120.00"
"PEREIRA BARRETO","SP","PEREIRA BARRETO / SP","0.52","5368","1896","0.35","5","5","0.766","817570.00"
"PERUÍBE","SP","PERUÍBE / SP","0.6","9115","4542","0.5","1","3","0.749","1346872.00"
"PIEDADE","SP","PIEDADE / SP","0.51","7933","2612","0.33","5","4","0.716","1217773.00"
"PILAR DO SUL","SP","PILAR DO SUL / SP","0.52","6726","1753","0.26","5","5","0.69","640684.00"
"PINDAMONHANGABA","SP","PINDAMONHANGABA / SP","0.55","31320","11190","0.36","3","2","0.773","7003490.00"
"PIRACICABA","SP","PIRACICABA / SP","0.55","123041","42212","0.34","3","1","0.785","21896872.00"
"PIRAJU","SP","PIRAJU / SP","0.55","5971","2877","0.48","3","4","0.758","700235.00"
"PIRAPOZINHO","SP","PIRAPOZINHO / SP","0.56","5442","1933","0.36","3","5","0.776","962053.00"
"PIRASSUNUNGA","SP","PIRASSUNUNGA / SP","0.52","20281","6242","0.31","5","2","0.801","2605700.00"
"PITANGUEIRAS","SP","PITANGUEIRAS / SP","0.49","7713","2033","0.26","5","5","0.723","1183500.00"
"POÁ","SP","POÁ / SP","0.57","26032","11480","0.44","2","1","0.771","4216622.00"
"POMPÉIA","SP","POMPÉIA / SP","0.5","7522","1645","0.22","5","5","0.786","825898.00"
"PONTAL","SP","PONTAL / SP","0.47","9113","1811","0.2","5","5","0.725","1213736.00"
"PORTO FELIZ","SP","PORTO FELIZ / SP","0.52","15213","4290","0.28","5","3","0.758","1926483.00"
"PORTO FERREIRA","SP","PORTO FERREIRA / SP","0.52","15391","4661","0.3","5","3","0.751","1975018.00"
"PRADÓPOLIS","SP","PRADÓPOLIS / SP","0.46","7194","1287","0.18","5","5","0.733","840208.00"
"PRAIA GRANDE","SP","PRAIA GRANDE / SP","0.59","49203","22707","0.46","1","1","0.754","6688614.00"
"PRESIDENTE EPITÁCIO","SP","PRESIDENTE EPITÁCIO / SP","0.58","5461","2621","0.48","1","4","0.75","853036.00"
"PRESIDENTE PRUDENTE","SP","PRESIDENTE PRUDENTE / SP","0.57","64926","26620","0.41","2","1","0.806","7806813.00"
"PRESIDENTE VENCESLAU","SP","PRESIDENTE VENCESLAU / SP","0.56","5036","2157","0.43","3","5","0.763","721893.00"
"PROMISSÃO","SP","PROMISSÃO / SP","0.52","8722","2061","0.24","5","5","0.743","1826151.00"
"RANCHARIA","SP","RANCHARIA / SP","0.52","6884","2186","0.32","5","5","0.751","1323712.00"
"REGISTRO","SP","REGISTRO / SP","0.56","13507","5696","0.42","3","2","0.754","1950928.00"
"RIBEIRÃO PIRES","SP","RIBEIRÃO PIRES / SP","0.56","21115","7422","0.35","3","2","0.784","3046465.00"
"RIBEIRÃO PRETO","SP","RIBEIRÃO PRETO / SP","0.58","229990","96921","0.42","1","1","0.8","35315843.00"
"RIO CLARO","SP","RIO CLARO / SP","0.53","61764","17597","0.28","4","1","0.683","346903.00"
"RIO DAS PEDRAS","SP","RIO DAS PEDRAS / SP","0.49","8883","1709","0.19","5","5","0.759","1194153.00"
"SALTO","SP","SALTO / SP","0.55","31045","9344","0.3","3","2","0.78","6869003.00"
"SALTO DE PIRAPORA","SP","SALTO DE PIRAPORA / SP","0.54","6328","1866","0.29","4","5","0.729","1633062.00"
"SANTA CRUZ DAS PALMEIRAS","SP","SANTA CRUZ DAS PALMEIRAS / SP","0.51","5547","2148","0.39","5","5","0.728","501910.00"
"SANTA CRUZ DO RIO PARDO","SP","SANTA CRUZ DO RIO PARDO / SP","0.49","14339","4007","0.28","5","3","0.762","2042409.00"
"SANTA FÉ DO SUL","SP","SANTA FÉ DO SUL / SP","0.56","8824","3390","0.38","3","3","0.784","1013729.00"
"SANTA GERTRUDES","SP","SANTA GERTRUDES / SP","0.48","7858","2109","0.27","5","5","0.737","1571921.00"
"SANTA ISABEL","SP","SANTA ISABEL / SP","0.55","10345","3695","0.36","3","3","0.738","1353632.00"
"SANTA RITA DO PASSA QUATRO","SP","SANTA RITA DO PASSA QUATRO / SP","0.58","6259","2785","0.44","1","4","0.775","641179.00"
"SANTANA DE PARNAÍBA","SP","SANTANA DE PARNAÍBA / SP","0.54","54375","16281","0.3","4","1","0.814","8583623.00"
"SANTO ANDRÉ","SP","SANTO ANDRÉ / SP","0.58","205401","82972","0.4","1","1","0.6","24161.00"
"SANTO ANTÔNIO DE POSSE","SP","SANTO ANTÔNIO DE POSSE / SP","0.49","7375","1800","0.24","5","5","0.702","1043905.00"
"SANTOS","SP","SANTOS / SP","0.58","177763","73757","0.41","1","1","0.84","22532672.00"
"SÃO BERNARDO DO CAMPO","SP","SÃO BERNARDO DO CAMPO / SP","0.55","247315","85028","0.34","3","1","0.805","44680389.00"
"SÃO CAETANO DO SUL","SP","SÃO CAETANO DO SUL / SP","0.56","105630","39268","0.37","3","1","0.862","13106959.00"
"SÃO CARLOS","SP","SÃO CARLOS / SP","0.56","73896","27888","0.38","3","1","0.805","10475655.00"
